"No.","Time","Source","Destination","Protocol","Length","Info"
"91","8.935186072","192.168.87.13","192.168.87.17","TCP","74","45224  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791362 TSecr=0 WS=128"
"92","8.939554302","192.168.87.13","192.168.87.17","TCP","74","45228  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791366 TSecr=0 WS=128"
"93","8.943080375","192.168.87.13","192.168.87.17","TCP","74","45236  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791370 TSecr=0 WS=128"
"94","8.946646008","192.168.87.13","192.168.87.17","TCP","74","45250  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791373 TSecr=0 WS=128"
"95","8.950379743","192.168.87.13","192.168.87.17","TCP","74","45258  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791377 TSecr=0 WS=128"
"96","8.954173437","192.168.87.13","192.168.87.17","TCP","74","45262  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791381 TSecr=0 WS=128"
"97","8.957099029","192.168.87.13","192.168.87.17","TCP","74","45278  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791384 TSecr=0 WS=128"
"98","8.960829768","192.168.87.13","192.168.87.17","TCP","74","45284  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791387 TSecr=0 WS=128"
"99","8.965087168","192.168.87.13","192.168.87.17","TCP","74","45290  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791392 TSecr=0 WS=128"
"100","8.968821889","192.168.87.13","192.168.87.17","TCP","74","45304  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791395 TSecr=0 WS=128"
"101","8.973418496","192.168.87.13","192.168.87.17","TCP","74","45306  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791400 TSecr=0 WS=128"
"102","8.976336145","192.168.87.13","192.168.87.17","TCP","74","45316  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791403 TSecr=0 WS=128"
"103","8.980988516","192.168.87.13","192.168.87.17","TCP","74","45326  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791407 TSecr=0 WS=128"
"104","8.984982325","192.168.87.13","192.168.87.17","TCP","74","45336  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791411 TSecr=0 WS=128"
"105","8.988146797","192.168.87.13","192.168.87.17","TCP","74","45340  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791415 TSecr=0 WS=128"
"106","8.992132775","192.168.87.13","192.168.87.17","TCP","74","45352  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791419 TSecr=0 WS=128"
"107","8.995420611","192.168.87.13","192.168.87.17","TCP","74","45358  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791422 TSecr=0 WS=128"
"108","9.000017871","192.168.87.13","192.168.87.17","TCP","74","45374  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791427 TSecr=0 WS=128"
"109","9.003024505","192.168.87.13","192.168.87.17","TCP","74","45382  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791430 TSecr=0 WS=128"
"110","9.006045309","192.168.87.13","192.168.87.17","TCP","74","45388  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791433 TSecr=0 WS=128"
"111","9.009099852","192.168.87.13","192.168.87.17","TCP","74","45398  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791436 TSecr=0 WS=128"
"112","9.012170063","192.168.87.13","192.168.87.17","TCP","74","45410  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791439 TSecr=0 WS=128"
"113","9.016062589","192.168.87.13","192.168.87.17","TCP","74","45414  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791443 TSecr=0 WS=128"
"114","9.019850242","192.168.87.13","192.168.87.17","TCP","74","45428  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791446 TSecr=0 WS=128"
"115","9.022797541","192.168.87.13","192.168.87.17","TCP","74","45440  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791449 TSecr=0 WS=128"
"116","9.025425520","192.168.87.13","192.168.87.17","TCP","74","45448  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791452 TSecr=0 WS=128"
"117","9.028415470","192.168.87.13","192.168.87.17","TCP","74","45462  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791455 TSecr=0 WS=128"
"118","9.031430208","192.168.87.13","192.168.87.17","TCP","74","45470  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791458 TSecr=0 WS=128"
"119","9.035162283","192.168.87.13","192.168.87.17","TCP","74","45484  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791462 TSecr=0 WS=128"
"120","9.039070940","192.168.87.13","192.168.87.17","TCP","74","45496  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791466 TSecr=0 WS=128"
"121","9.042036449","192.168.87.13","192.168.87.17","TCP","74","45512  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791469 TSecr=0 WS=128"
"122","9.045289447","192.168.87.13","192.168.87.17","TCP","74","45520  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791472 TSecr=0 WS=128"
